Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
1-Jan-21,1443,1420.6,1425.05,4405469,63155.33422,24302
4-Jan-21,1438,1399,1416,7870096,111534.7328,40233
5-Jan-21,1430.75,1409,1426.7,7193412,102141.606,49022
6-Jan-21,1440,1413.1,1420.55,11067025,157545.1101,62408
7-Jan-21,1432.6,1412.55,1416.25,9947421,141486.2331,47083
8-Jan-21,1442,1423.1,1431.65,6884382,98639.9739,59221
11-Jan-21,1464.9,1436.3,1451.45,8665696,125894.8203,94720
12-Jan-21,1487.7,1449.1,1481,10194078,149795.636,95861
13-Jan-21,1496.9,1462.1,1470.65,8467325,124991.9728,72902
14-Jan-21,1488,1456,1468.75,6148583,90310.62462,52495
15-Jan-21,1471.65,1445,1466.65,7082618,103275.074,81747
18-Jan-21,1502.85,1467,1483.1,21412816,318824.8825,194254
19-Jan-21,1511.65,1467,1503.85,8680127,129344.4713,107454
20-Jan-21,1501,1486,1492,6673026,99678.40647,59507
21-Jan-21,1494.35,1468.15,1474.8,13166527,194761.3889,89132
22-Jan-21,1467.9,1440.15,1443.55,7696182,111933.637,90596
25-Jan-21,1481,1455.15,1462.85,10172359,149118.0574,124272
27-Jan-21,1471.9,1406.15,1409.6,11778138,169254.4542,112616
28-Jan-21,1401.3,1342,1371.45,21352223,291278.8635,127854
29-Jan-21,1408.75,1364.5,1390.5,14352251,199238.917,81060
1-Feb-21,1482.5,1401,1476.75,13185272,189792.3149,89371
2-Feb-21,1578.5,1497.4,1560.55,21210103,330138.0164,128814
3-Feb-21,1581.7,1542,1574.8,10118627,158454.9869,61311
4-Feb-21,1588,1543.45,1579.1,12242342,191997.1305,60188
5-Feb-21,1618.25,1548,1597.6,13527358,215822.2844,82760
8-Feb-21,1631.65,1595.7,1605.25,8723790,140850.7607,61162
9-Feb-21,1628,1586.7,1611.85,9210683,148410.6226,49696
10-Feb-21,1614.85,1567,1581.75,9894003,157596.8772,53254
11-Feb-21,1597.8,1564.2,1572.35,6824309,107672.9592,40302
12-Feb-21,1592.5,1573,1581.95,4955053,78505.72958,45888
15-Feb-21,1625,1596.7,1616.6,5177622,83267.76744,54242
16-Feb-21,1641,1608.45,1626.65,6948679,112935.449,77736
17-Feb-21,1621.8,1583,1586.5,6397213,102496.5889,52477
18-Feb-21,1605.95,1548,1554.3,7360280,115622.6154,78102
19-Feb-21,1564.2,1533,1539.1,8569754,132653.5523,78655
22-Feb-21,1573.9,1539.45,1548,14725919,229347.2812,108365
23-Feb-21,1557.7,1522.65,1529.15,9119953,140189.5577,100779
24-Feb-21,1613.95,1516.25,1606.45,7157166,111791.0453,85858
25-Feb-21,1636.25,1602,1606.4,10054785,162954.6477,101363
26-Feb-21,1588.9,1521,1534.4,13956423,215467.1849,86867
1-Mar-21,1572.55,1540.7,1558.9,6768009,105542.2535,42740
2-Mar-21,1587.5,1551,1568.2,8055019,126452.6247,45917
3-Mar-21,1596,1565,1586.85,5611205,88643.14509,47106
4-Mar-21,1571,1539.1,1552.05,8145719,126449.5616,61061
5-Mar-21,1545.6,1521.1,1530,8722911,133706.2458,56598
8-Mar-21,1555,1512.5,1519.5,7558525,115674.3706,54426
9-Mar-21,1565.7,1538.25,1562.5,7533348,117258.1055,63489
10-Mar-21,1575,1552.15,1555.75,5527508,86219.72797,39852
12-Mar-21,1600,1535.05,1551.95,7815602,122702.5375,72307
15-Mar-21,1548.4,1515.3,1528.65,6115242,93260.41069,62945
16-Mar-21,1540.4,1510,1512.15,6861183,104499.094,64547
17-Mar-21,1539,1490.2,1495.35,10532214,159470.4211,82899
18-Mar-21,1522.05,1481.15,1491,9032770,135940.9752,74742
19-Mar-21,1511.2,1474.05,1497.5,10617510,157890.4466,87797
22-Mar-21,1494.9,1460.4,1469.15,7007816,103244.1918,89976
23-Mar-21,1507.45,1469.1,1500.15,9880714,146933.4949,105604
24-Mar-21,1506.45,1471,1478.8,8184450,121874.1908,83266
25-Mar-21,1495.55,1450.25,1463.35,11982178,175961.9811,94038
26-Mar-21,1499,1474,1491.3,6010629,89365.79563,39534
30-Mar-21,1562.55,1501.55,1553.7,12804032,196890.4933,60399
31-Mar-21,1548,1488,1493.65,15387253,230771.9221,82410
1-Apr-21,1499.4,1465,1486.75,17881881,264747.0585,77013
5-Apr-21,1485,1431,1449.6,8003293,116131.2555,72337
6-Apr-21,1462.65,1432.65,1440.25,7537867,108881.6674,53534
7-Apr-21,1456.7,1421.55,1447.2,12544090,181266.8632,66145
8-Apr-21,1460.9,1430.5,1432.8,8806796,127305.4128,54160
9-Apr-21,1432.8,1415.1,1421.75,14078908,200326.1801,80828
12-Apr-21,1399,1353,1367.05,11274564,154965.908,109876
13-Apr-21,1406.45,1361,1400.35,9300341,128645.3627,70653
15-Apr-21,1436.7,1391,1430.1,17222492,242879.6685,93967
16-Apr-21,1445,1423.5,1428.65,7803263,112059.4298,90023
19-Apr-21,1417.7,1372.3,1412.4,12034621,167723.5945,140994
20-Apr-21,1426.4,1383.95,1391.4,11593135,162917.0686,97169
22-Apr-21,1426.8,1371.05,1422.5,19242656,268103.3368,113492
23-Apr-21,1434.6,1400.2,1414.15,11356764,161077.8169,99688
26-Apr-21,1429,1402.75,1404.8,15085476,213186.0695,94547
27-Apr-21,1442,1404.8,1438.7,10296453,147280.9647,110473
28-Apr-21,1479,1431,1476.8,12051970,176343.7666,117809
29-Apr-21,1503.65,1461,1472.5,12039276,178319.6037,129233
30-Apr-21,1453.8,1407.5,1412.3,17616451,250352.898,85961
3-May-21,1421.9,1377.3,1414.45,11236850,157099.4576,85866
4-May-21,1423,1383.3,1388.35,10743164,150812.1969,77534
5-May-21,1409.6,1381.7,1402.6,7210806,100963.9217,57939
6-May-21,1410.8,1395,1400.9,5738522,80531.13106,36925
7-May-21,1424.95,1410.25,1414.75,6024167,85479.5858,48148
10-May-21,1430,1412.8,1419.85,5530025,78518.85465,36994
11-May-21,1424.2,1395.05,1403.55,7259517,102231.2139,51179
12-May-21,1408.6,1388.85,1399.5,6887463,96303.79958,53642
14-May-21,1398.9,1382.35,1386.85,5302071,73629.47079,56051
17-May-21,1442.6,1381.3,1440.25,7560346,107499.465,98412
18-May-21,1482.75,1455,1476.7,11082640,163256.2703,105921
19-May-21,1478.85,1452.55,1458.2,5065458,74115.90231,54181
20-May-21,1465.9,1428.5,1432.8,5342092,77316.37701,49625
21-May-21,1501.9,1443,1497.3,9670823,142870.8575,127875
24-May-21,1520.45,1498.5,1509.95,11073051,167288.1227,122808
25-May-21,1513.75,1470.5,1478.95,9618487,142735.3893,121117
26-May-21,1487,1470,1477.05,6141995,90819.2751,92962
27-May-21,1489,1462.45,1482.65,10219748,150430.4002,98444
28-May-21,1513,1478.75,1503.45,8875010,132734.3748,61668
31-May-21,1519.5,1487.5,1515.85,7830527,118022.8707,65740
1-Jun-21,1527,1507.25,1511.7,5515081,83593.76486,49333
2-Jun-21,1510.2,1493,1504,5312008,79680.4769,40474
3-Jun-21,1524.95,1487.75,1520.55,5143630,77907.8031,50717
4-Jun-21,1520.65,1499.2,1500.95,4712238,71048.08087,43235
7-Jun-21,1514,1496,1499.85,4045834,60734.88212,34257
8-Jun-21,1501.3,1481.5,1483.05,4936270,73401.18764,46777
9-Jun-21,1502,1472.05,1480.3,5111721,76064.16087,72791
10-Jun-21,1489,1473.65,1481.05,5741770,84975.70555,57382
11-Jun-21,1496.55,1481.05,1486.35,3602987,53600.9394,56478
14-Jun-21,1486,1462.55,1479.45,4440982,65469.982,68213
15-Jun-21,1496,1474.8,1490.25,3784801,56397.5816,63011
16-Jun-21,1494,1478.1,1484.6,3851049,57178.99444,48823
17-Jun-21,1478.75,1460,1466.1,4641901,68284.22222,68296
18-Jun-21,1490,1455,1479.8,5969030,87778.32378,107469
21-Jun-21,1491.8,1459,1488.7,3630236,53561.08569,87544
22-Jun-21,1508,1480,1483.8,7183412,107465.481,130957
23-Jun-21,1497.8,1478.6,1485.5,3922434,58333.78822,93786
24-Jun-21,1513.45,1488,1506.25,7392512,111053.9744,104655
25-Jun-21,1522,1507,1515.1,5191588,78663.53152,56972
28-Jun-21,1523,1505,1508.35,4678393,70663.3744,40345
29-Jun-21,1508.2,1492.15,1502.05,5485846,82190.41607,35968
30-Jun-21,1509,1494.1,1497.9,4839511,72642.9716,37508
1-Jul-21,1502,1483,1486.75,8455721,126108.2492,38788
2-Jul-21,1489.25,1477,1480.4,7413518,109919.2608,38370
5-Jul-21,1504.5,1484.55,1495.45,3686941,55216.83948,54446
6-Jul-21,1540,1496,1534.7,8834516,134908.1821,124887
7-Jul-21,1545.35,1527.7,1539.5,4814595,74117.30516,51642
8-Jul-21,1537.7,1513.45,1520.45,4210461,64266.30346,57874
9-Jul-21,1516,1497.5,1502,5347921,80509.52658,55574
12-Jul-21,1502,1484,1487,7229489,107933.8651,63779
13-Jul-21,1506.1,1484.1,1501.85,9089071,135785.8969,77965
14-Jul-21,1507.35,1491.1,1499.15,4894247,73424.59152,47142
15-Jul-21,1526.75,1499.65,1520.7,5219401,79233.04984,81003
16-Jul-21,1529.95,1518.8,1522.35,2585314,39405.52739,66135
19-Jul-21,1488.85,1466,1471,12555800,185527.7906,183230
20-Jul-21,1454,1436.15,1443.15,12087125,174460.4235,124398
22-Jul-21,1468.5,1445,1448.7,6603557,96134.92162,103214
23-Jul-21,1457.45,1435.3,1442.75,6563342,94854.65854,103889
26-Jul-21,1444,1428.1,1434.55,6583583,94469.65208,95175
27-Jul-21,1449.9,1436.1,1439.75,11200715,161675.2331,112562
28-Jul-21,1438.7,1404,1417.3,10335171,146408.2018,117136
29-Jul-21,1429.95,1413.3,1418.25,6851115,97450.30009,117926
30-Jul-21,1431.75,1407.95,1426.45,5827744,82906.19853,61160
2-Aug-21,1435,1416.25,1422.65,6629393,94527.48883,46803
3-Aug-21,1439.9,1410,1434.7,6016560,85935.28259,74255
4-Aug-21,1474.5,1440,1465.3,11026974,161318.2909,161716
5-Aug-21,1507.05,1457.4,1484.85,9411204,139592.9516,160622
6-Aug-21,1500,1474,1492.65,6669635,99407.73287,88521
9-Aug-21,1507.35,1476,1503.9,5499024,82565.54643,77560
10-Aug-21,1519.75,1489,1507.65,7419173,112206.8557,100017
11-Aug-21,1518.85,1491.05,1494.95,6292893,94485.74027,69570
12-Aug-21,1507.6,1489.3,1501.4,4298837,64425.66925,47690
13-Aug-21,1531,1501,1526.2,8329214,126723.6367,101844
16-Aug-21,1535,1521.45,1530.6,3126389,47832.41013,64371
17-Aug-21,1524,1505.3,1514.65,4141333,62697.6389,70797
18-Aug-21,1565.35,1508.35,1513,11492966,176798.5969,251258
20-Aug-21,1519.8,1486.05,1514.75,6575203,98988.14017,143808
23-Aug-21,1533.15,1508.65,1524.6,5421527,82472.98231,128217
24-Aug-21,1564.5,1527.45,1558.85,9190657,142471.9759,215169
25-Aug-21,1564.8,1548,1557.4,3863987,60147.97348,112138
26-Aug-21,1571,1543.45,1554.8,5559501,86691.23592,123561
27-Aug-21,1558.65,1545.25,1548.45,3191069,49494.5916,48030
30-Aug-21,1570,1551.6,1568.25,4524583,70729.24768,58107
31-Aug-21,1583.35,1562.2,1581.4,6031288,95069.85063,70870
1-Sep-21,1598,1574.5,1579.1,6211279,98552.73406,85260
2-Sep-21,1592,1571.25,1589,4809262,76135.44239,44510
