date,high,low,trade,turnover_in_lakhs,contracts,difference
1-Jan-21,1443.0,1420.6,4405469,63155.33422,24302,22.40000000000009
4-Jan-21,1438.0,1399.0,7870096,111534.7328,40233,39.0
5-Jan-21,1430.75,1409.0,7193412,102141.606,49022,21.75
6-Jan-21,1440.0,1413.1,11067025,157545.1101,62408,26.90000000000009
7-Jan-21,1432.6,1412.55,9947421,141486.2331,47083,20.049999999999955
8-Jan-21,1442.0,1423.1,6884382,98639.9739,59221,18.90000000000009
11-Jan-21,1464.9,1436.3,8665696,125894.8203,94720,28.600000000000136
12-Jan-21,1487.7,1449.1,10194078,149795.636,95861,38.600000000000136
13-Jan-21,1496.9,1462.1,8467325,124991.9728,72902,34.80000000000018
14-Jan-21,1488.0,1456.0,6148583,90310.62462,52495,32.0
15-Jan-21,1471.65,1445.0,7082618,103275.074,81747,26.65000000000009
18-Jan-21,1502.85,1467.0,21412816,318824.8825,194254,35.84999999999991
19-Jan-21,1511.65,1467.0,8680127,129344.4713,107454,44.65000000000009
20-Jan-21,1501.0,1486.0,6673026,99678.40647,59507,15.0
21-Jan-21,1494.35,1468.15,13166527,194761.3889,89132,26.199999999999818
22-Jan-21,1467.9,1440.15,7696182,111933.637,90596,27.75
25-Jan-21,1481.0,1455.15,10172359,149118.0574,124272,25.84999999999991
27-Jan-21,1471.9,1406.15,11778138,169254.4542,112616,65.75
28-Jan-21,1401.3,1342.0,21352223,291278.8635,127854,59.299999999999955
29-Jan-21,1408.75,1364.5,14352251,199238.917,81060,44.25
1-Feb-21,1482.5,1401.0,13185272,189792.3149,89371,81.5
2-Feb-21,1578.5,1497.4,21210103,330138.0164,128814,81.09999999999991
3-Feb-21,1581.7,1542.0,10118627,158454.9869,61311,39.700000000000045
4-Feb-21,1588.0,1543.45,12242342,191997.1305,60188,44.549999999999955
5-Feb-21,1618.25,1548.0,13527358,215822.2844,82760,70.25
8-Feb-21,1631.65,1595.7,8723790,140850.7607,61162,35.950000000000045
9-Feb-21,1628.0,1586.7,9210683,148410.6226,49696,41.299999999999955
10-Feb-21,1614.85,1567.0,9894003,157596.8772,53254,47.84999999999991
11-Feb-21,1597.8,1564.2,6824309,107672.9592,40302,33.59999999999991
12-Feb-21,1592.5,1573.0,4955053,78505.72958,45888,19.5
15-Feb-21,1625.0,1596.7,5177622,83267.76744,54242,28.299999999999955
16-Feb-21,1641.0,1608.45,6948679,112935.449,77736,32.549999999999955
17-Feb-21,1621.8,1583.0,6397213,102496.5889,52477,38.799999999999955
18-Feb-21,1605.95,1548.0,7360280,115622.6154,78102,57.950000000000045
19-Feb-21,1564.2,1533.0,8569754,132653.5523,78655,31.200000000000045
22-Feb-21,1573.9,1539.45,14725919,229347.2812,108365,34.450000000000045
23-Feb-21,1557.7,1522.65,9119953,140189.5577,100779,35.049999999999955
24-Feb-21,1613.95,1516.25,7157166,111791.0453,85858,97.70000000000005
25-Feb-21,1636.25,1602.0,10054785,162954.6477,101363,34.25
26-Feb-21,1588.9,1521.0,13956423,215467.1849,86867,67.90000000000009
1-Mar-21,1572.55,1540.7,6768009,105542.2535,42740,31.84999999999991
2-Mar-21,1587.5,1551.0,8055019,126452.6247,45917,36.5
3-Mar-21,1596.0,1565.0,5611205,88643.14509,47106,31.0
4-Mar-21,1571.0,1539.1,8145719,126449.5616,61061,31.90000000000009
5-Mar-21,1545.6,1521.1,8722911,133706.2458,56598,24.5
8-Mar-21,1555.0,1512.5,7558525,115674.3706,54426,42.5
9-Mar-21,1565.7,1538.25,7533348,117258.1055,63489,27.450000000000045
10-Mar-21,1575.0,1552.15,5527508,86219.72797,39852,22.84999999999991
12-Mar-21,1600.0,1535.05,7815602,122702.5375,72307,64.95000000000005
15-Mar-21,1548.4,1515.3,6115242,93260.41069,62945,33.100000000000136
16-Mar-21,1540.4,1510.0,6861183,104499.094,64547,30.40000000000009
17-Mar-21,1539.0,1490.2,10532214,159470.4211,82899,48.799999999999955
18-Mar-21,1522.05,1481.15,9032770,135940.9752,74742,40.899999999999864
19-Mar-21,1511.2,1474.05,10617510,157890.4466,87797,37.15000000000009
22-Mar-21,1494.9,1460.4,7007816,103244.1918,89976,34.5
23-Mar-21,1507.45,1469.1,9880714,146933.4949,105604,38.350000000000136
24-Mar-21,1506.45,1471.0,8184450,121874.1908,83266,35.450000000000045
25-Mar-21,1495.55,1450.25,11982178,175961.9811,94038,45.299999999999955
26-Mar-21,1499.0,1474.0,6010629,89365.79563,39534,25.0
30-Mar-21,1562.55,1501.55,12804032,196890.4933,60399,61.0
31-Mar-21,1548.0,1488.0,15387253,230771.9221,82410,60.0
1-Apr-21,1499.4,1465.0,17881881,264747.0585,77013,34.40000000000009
5-Apr-21,1485.0,1431.0,8003293,116131.2555,72337,54.0
6-Apr-21,1462.65,1432.65,7537867,108881.6674,53534,30.0
7-Apr-21,1456.7,1421.55,12544090,181266.8632,66145,35.15000000000009
8-Apr-21,1460.9,1430.5,8806796,127305.4128,54160,30.40000000000009
9-Apr-21,1432.8,1415.1,14078908,200326.1801,80828,17.700000000000045
12-Apr-21,1399.0,1353.0,11274564,154965.908,109876,46.0
13-Apr-21,1406.45,1361.0,9300341,128645.3627,70653,45.450000000000045
15-Apr-21,1436.7,1391.0,17222492,242879.6685,93967,45.700000000000045
16-Apr-21,1445.0,1423.5,7803263,112059.4298,90023,21.5
19-Apr-21,1417.7,1372.3,12034621,167723.5945,140994,45.40000000000009
20-Apr-21,1426.4,1383.95,11593135,162917.0686,97169,42.450000000000045
22-Apr-21,1426.8,1371.05,19242656,268103.3368,113492,55.75
23-Apr-21,1434.6,1400.2,11356764,161077.8169,99688,34.399999999999864
26-Apr-21,1429.0,1402.75,15085476,213186.0695,94547,26.25
27-Apr-21,1442.0,1404.8,10296453,147280.9647,110473,37.200000000000045
28-Apr-21,1479.0,1431.0,12051970,176343.7666,117809,48.0
29-Apr-21,1503.65,1461.0,12039276,178319.6037,129233,42.65000000000009
30-Apr-21,1453.8,1407.5,17616451,250352.898,85961,46.299999999999955
3-May-21,1421.9,1377.3,11236850,157099.4576,85866,44.600000000000136
4-May-21,1423.0,1383.3,10743164,150812.1969,77534,39.700000000000045
5-May-21,1409.6,1381.7,7210806,100963.9217,57939,27.899999999999864
6-May-21,1410.8,1395.0,5738522,80531.13106,36925,15.799999999999955
7-May-21,1424.95,1410.25,6024167,85479.5858,48148,14.700000000000045
10-May-21,1430.0,1412.8,5530025,78518.85465,36994,17.200000000000045
11-May-21,1424.2,1395.05,7259517,102231.2139,51179,29.15000000000009
12-May-21,1408.6,1388.85,6887463,96303.79958,53642,19.75
14-May-21,1398.9,1382.35,5302071,73629.47079,56051,16.550000000000182
17-May-21,1442.6,1381.3,7560346,107499.465,98412,61.299999999999955
18-May-21,1482.75,1455.0,11082640,163256.2703,105921,27.75
19-May-21,1478.85,1452.55,5065458,74115.90231,54181,26.299999999999955
20-May-21,1465.9,1428.5,5342092,77316.37701,49625,37.40000000000009
21-May-21,1501.9,1443.0,9670823,142870.8575,127875,58.90000000000009
24-May-21,1520.45,1498.5,11073051,167288.1227,122808,21.950000000000045
25-May-21,1513.75,1470.5,9618487,142735.3893,121117,43.25
26-May-21,1487.0,1470.0,6141995,90819.2751,92962,17.0
27-May-21,1489.0,1462.45,10219748,150430.4002,98444,26.549999999999955
28-May-21,1513.0,1478.75,8875010,132734.3748,61668,34.25
31-May-21,1519.5,1487.5,7830527,118022.8707,65740,32.0
1-Jun-21,1527.0,1507.25,5515081,83593.76486,49333,19.75
2-Jun-21,1510.2,1493.0,5312008,79680.4769,40474,17.200000000000045
3-Jun-21,1524.95,1487.75,5143630,77907.8031,50717,37.200000000000045
4-Jun-21,1520.65,1499.2,4712238,71048.08087,43235,21.450000000000045
7-Jun-21,1514.0,1496.0,4045834,60734.88212,34257,18.0
8-Jun-21,1501.3,1481.5,4936270,73401.18764,46777,19.799999999999955
9-Jun-21,1502.0,1472.05,5111721,76064.16087,72791,29.950000000000045
10-Jun-21,1489.0,1473.65,5741770,84975.70555,57382,15.349999999999909
11-Jun-21,1496.55,1481.05,3602987,53600.9394,56478,15.5
14-Jun-21,1486.0,1462.55,4440982,65469.982,68213,23.450000000000045
15-Jun-21,1496.0,1474.8,3784801,56397.5816,63011,21.200000000000045
16-Jun-21,1494.0,1478.1,3851049,57178.99444,48823,15.900000000000091
17-Jun-21,1478.75,1460.0,4641901,68284.22222,68296,18.75
18-Jun-21,1490.0,1455.0,5969030,87778.32378,107469,35.0
21-Jun-21,1491.8,1459.0,3630236,53561.08569,87544,32.799999999999955
22-Jun-21,1508.0,1480.0,7183412,107465.481,130957,28.0
23-Jun-21,1497.8,1478.6,3922434,58333.78822,93786,19.200000000000045
24-Jun-21,1513.45,1488.0,7392512,111053.9744,104655,25.450000000000045
25-Jun-21,1522.0,1507.0,5191588,78663.53152,56972,15.0
28-Jun-21,1523.0,1505.0,4678393,70663.3744,40345,18.0
29-Jun-21,1508.2,1492.15,5485846,82190.41607,35968,16.049999999999955
30-Jun-21,1509.0,1494.1,4839511,72642.9716,37508,14.900000000000091
1-Jul-21,1502.0,1483.0,8455721,126108.2492,38788,19.0
2-Jul-21,1489.25,1477.0,7413518,109919.2608,38370,12.25
5-Jul-21,1504.5,1484.55,3686941,55216.83948,54446,19.950000000000045
6-Jul-21,1540.0,1496.0,8834516,134908.1821,124887,44.0
7-Jul-21,1545.35,1527.7,4814595,74117.30516,51642,17.649999999999864
8-Jul-21,1537.7,1513.45,4210461,64266.30346,57874,24.25
9-Jul-21,1516.0,1497.5,5347921,80509.52658,55574,18.5
12-Jul-21,1502.0,1484.0,7229489,107933.8651,63779,18.0
13-Jul-21,1506.1,1484.1,9089071,135785.8969,77965,22.0
14-Jul-21,1507.35,1491.1,4894247,73424.59152,47142,16.25
15-Jul-21,1526.75,1499.65,5219401,79233.04984,81003,27.09999999999991
16-Jul-21,1529.95,1518.8,2585314,39405.52739,66135,11.150000000000091
